TERYT Gminy,Gmina,Liczba wyborców uprawnionych do głosowania,Liczba głosów ważnych,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
102008,gm. Stryków,10056,7821,174,1206,679,2753,601,2249,129,30,0,0,0,0
102009,gm. Zgierz,12203,9751,183,1274,939,3356,636,3217,111,35,0,0,0,0
102101,m. Brzeziny,9555,7047,95,875,625,2848,470,2027,107,0,0,0,0,0
102102,gm. Brzeziny,4634,3599,75,565,283,1516,278,821,61,0,0,0,0,0
102103,gm. Dmosin,3571,2562,56,389,217,1223,209,440,28,0,0,0,0,0
102104,gm. Jeżów,2590,1922,40,361,72,1056,134,235,24,0,0,0,0,0
102105,gm. Rogów,3658,2691,49,333,167,1361,208,535,38,0,0,0,0,0
106101,Łódź,499671,392837,4651,45657,50412,97825,20854,168992,4446,0,0,0,0,0
106201,Piotrków Trybunalski,53424,39558,565,4873,3273,14161,2378,13737,471,100,0,0,0,0
106301,Skierniewice,35400,27639,509,4343,2751,9145,1851,8518,430,92,0,0,0,0
120101,m. Bochnia,22137,16744,169,3898,767,6353,1264,3906,387,0,0,0,0,0
120102,gm. Bochnia,15520,11273,151,2153,375,5973,940,1412,269,0,0,0,0,0
120103,gm. Drwinia,5159,3726,46,650,113,2241,326,288,62,0,0,0,0,0
120104,gm. Lipnica Murowana,4197,2983,39,419,56,1881,211,325,52,0,0,0,0,0
120105,gm. Łapanów,6468,4777,64,928,143,2610,432,490,110,0,0,0,0,0
120106,gm. Nowy Wiśnicz,11218,8607,100,1467,257,4824,660,1092,207,0,0,0,0,0
120107,gm. Rzezawa,8647,6190,84,996,226,3453,584,705,142,0,0,0,0,0
120108,gm. Trzciana,4259,3315,32,549,68,2077,244,249,96,0,0,0,0,0
120109,gm. Żegocina,4123,3240,28,390,60,2218,253,199,92,0,0,0,0,0
120201,gm. Borzęcin,6413,4144,64,569,124,2368,442,478,99,0,0,0,0,0
120202,gm. Brzesko,27371,19187,242,3437,798,8847,1675,3651,537,0,0,0,0,0
120203,gm. Czchów,7319,5048,82,774,190,2867,432,529,174,0,0,0,0,0
120204,gm. Dębno,11100,7796,112,1325,280,3985,815,1014,265,0,0,0,0,0
120205,gm. Gnojnik,6034,4189,36,579,89,2563,457,358,107,0,0,0,0,0
120206,gm. Iwkowa,4944,3568,37,726,51,2191,291,192,80,0,0,0,0,0
120207,gm. Szczurowa,7255,4391,55,667,147,2566,364,486,106,0,0,0,0,0
120301,gm. Alwernia,9751,7110,119,1218,442,3049,516,1659,107,0,0,0,0,0
120302,gm. Babice,7074,5264,101,884,303,2195,361,1351,69,0,0,0,0,0
